Country/Region,Continent,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,WHO Region
USA,North America,334805269,105599065,,1148765,,103126259,,1324041,2365,315404,3431,1168585832,3490345,Americas
India,Asia,1406631776,44689968,,530780,,44155782,343,3406,,31771,377,919485211,653679,South-EastAsia
France,Europe,65584518,39645300,,165163,,39421130,,59007,869,604492,2518,271490188,4139547,Europe
Germany,Europe,83883596,38256003,,169057,,37843700,4600,243246,,456061,2015,122332384,1458359,Europe
Brazil,South America,215353593,37085520,,699310,,36249161,,137049,,172208,3247,63776166,296146,Americas
Japan,Asia,125584838,33316509,9100,73156,118,21701579,2573,11541774,109,265291,583,96184058,765889,WesternPacific
S. Korea,Asia,51329899,30625389,9867,34096,3,30411682,11868,179611,146,596638,664,15804065,307892,WesternPacific
Italy,Europe,60262770,25627473,,188538,,25294864,,144071,104,425262,3129,268674307,4458380,Europe
UK,Europe,68497907,24396534,,207695,,24121956,2553,66883,,356165,3032,522526476,7628357,Europe
Russia,Europe,145805947,22411108,12241,396549,42,21758912,14481,255647,,153705,2720,273400000,1875095,Europe
Turkey,Asia,85561976,17042722,,101492,,,,,,199186,1186,162743369,1902052,Europe
Spain,Europe,46719142,13778467,,119618,,13624507,,34342,231,294921,2560,471036328,10082298,Europe
Vietnam,Asia,98953541,11527033,7,43186,,10614817,2,869030,1,116489,436,85826548,867342,WesternPacific
Australia,Australia/Oceania,26068792,11385534,,19459,,11332576,,33499,27,436750,746,78835048,3024116,WesternPacific
Taiwan,Asia,23888595,10161496,8618,18473,48,9906731,15821,236292,,425370,773,30742304,1286903,WesternPacific
Argentina,South America,46010234,10044957,,130472,,9911664,,2821,363,218320,2836,35716069,776264,Americas
Netherlands,Europe,17211447,8602266,,22992,,8562440,,16834,53,499799,1336,25984435,1509718,Europe
Iran,Asia,86022837,7572759,,144941,,7340183,,87635,398,88032,1685,55353767,643478,EasternMediterranean
Mexico,North America,131562772,7483444,,333188,,6718939,,431317,,56881,2533,19642771,149303,Americas
Indonesia,Asia,279134505,6738844,324,160945,1,6574574,201,3325,,24142,577,114158919,408975,South-EastAsia
Poland,Europe,37739785,6452208,3633,119030,14,5335940,,997238,696,170966,3154,38366381,1016603,Europe
Colombia,South America,51512762,6360780,,142639,,6184346,,33795,342,123480,2769,36951507,717327,Americas
Austria,Europe,9066710,5970789,4510,21994,2,5894317,5688,54478,72,658540,2426,211273524,23302116,Europe
Greece,Europe,10316637,5896788,,36283,,5829938,,30567,115,571580,3517,102228365,9909078,Europe
Portugal,Europe,10140570,5570473,,26266,,5539213,554,4994,61,549325,2590,45994869,4535728,Europe
Ukraine,Europe,43192122,5399231,,111298,,5270797,,17136,,125005,2577,32603805,754855,Europe
Chile,South America,19250195,5199779,3785,64301,16,5124657,5428,10821,87,270116,3340,48611775,2525261,Americas
Malaysia,Asia,33181072,5045192,223,36967,,4998845,193,9380,5,152050,1114,68309333,2058684,WesternPacific
Israel,Asia,9326000,4804197,,12329,,4781252,,10616,57,515140,1322,41373364,4436346,Europe
DPRK,Asia,25990679,4772813,,74,,4772739,,0,,183636,3,,,
Belgium,Europe,11668278,4739365,,33814,,4666343,,39208,43,406175,2898,36797565,3153641,Europe
Thailand,Asia,70078203,4728182,,33918,,4692636,,1628,,67470,484,17270775,246450,South-EastAsia
Czechia,Europe,10736784,4620160,945,42504,1,4568008,1092,9648,43,430311,3959,57045938,5313131,Europe
Canada,North America,38388419,4600615,,51447,,4515281,1441,33887,99,119844,1340,66343123,1728207,Americas
Peru,South America,33684208,4487956,186,219562,14,4265743,,2651,32,133236,6518,38141308,1132320,Americas
Switzerland,Europe,8773637,4392464,,14452,,4373995,,4017,39,500643,1647,23833472,2716487,Europe
Philippines,Asia,112508994,4077757,144,66202,9,4002485,172,9070,162,36244,588,34683485,308273,WesternPacific
South Africa,Africa,60756135,4067453,,102595,,3912506,,52352,192,66947,1689,26795090,441027,Africa
